box_wkt,box_class,box_confidence
"POLYGON((550769.9952148438 179906.4764404297, 550813.7523925782 179906.4764404297, 550813.7523925782 179970.34674987794, 550769.9952148438 179970.34674987794, 550769.9952148438 179906.4764404297))",pier,0.2549138069152832
"POLYGON((550958.3069335937 179964.3364807129, 550963.6420898438 179964.3364807129, 550963.6420898438 179968.35284729005, 550958.3069335937 179968.35284729005, 550958.3069335937 179964.3364807129))",pier,0.16091422736644745
"POLYGON((550807.6208007813 179872.1326538086, 550840.1616210938 179872.1326538086, 550840.1616210938 179956.32705993654, 550807.6208007813 179956.32705993654, 550807.6208007813 179872.1326538086))",pier,0.21750018000602722
"POLYGON((550853.6561523437 179808.63248291015, 550873.024609375 179808.63248291015, 550873.024609375 179817.77086181642, 550853.6561523437 179817.77086181642, 550853.6561523437 179808.63248291015))",pier,0.21664081513881683
"POLYGON((550822.109375 179871.26625976563, 550840.1422851563 179871.26625976563, 550840.1422851563 179903.4298828125, 550822.109375 179903.4298828125, 550822.109375 179871.26625976563))",pier,0.21738159656524658
"POLYGON((550815.3468261719 179840.0169189453, 550824.96484375 179840.0169189453, 550824.96484375 179856.32120361328, 550815.3468261719 179856.32120361328, 550815.3468261719 179840.0169189453))",pier,0.1640465259552002
"POLYGON((550862.3543945312 179713.91186523438, 550957.6224609375 179713.91186523438, 550957.6224609375 179755.1218017578, 550862.3543945312 179755.1218017578, 550862.3543945312 179713.91186523438))",pier,0.27221858501434326
"POLYGON((550859.7108398437 179750.8253173828, 550877.3884765625 179750.8253173828, 550877.3884765625 179769.31796875, 550859.7108398437 179769.31796875, 550859.7108398437 179750.8253173828))",pier,0.1911168247461319
"POLYGON((550865.944921875 179614.15935058595, 550961.3364257812 179614.15935058595, 550961.3364257812 179704.3751953125, 550865.944921875 179704.3751953125, 550865.944921875 179614.15935058595))",pier,0.24387076497077942
"POLYGON((550863.8091796875 179649.2123046875, 550883.802734375 179649.2123046875, 550883.802734375 179665.89638671876, 550863.8091796875 179665.89638671876, 550863.8091796875 179649.2123046875))",pier,0.16883260011672974
"POLYGON((550931.7680664062 179615.76059570312, 550939.9510742187 179615.76059570312, 550939.9510742187 179628.014453125, 550931.7680664062 179628.014453125, 550931.7680664062 179615.76059570312))",pier,0.1976509988307953
