WKT,_predicate,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((600424.318 344572.267000001,600423.9 344569.27,600423.76 344568.279999999,600419.856 344568.827,600419.126 344568.929,600418.69 344568.99,600416.03 344569.35,600416.17 344570.34,600418.88 344569.970000001,600419.44 344569.892000001,600419.918 344569.824999999,600422.568 344569.456,600422.986 344572.452,600424.318 344572.267000001)))",INTERSECTS,23.65802521060,11.85894500450
"MULTIPOLYGON (((600496.696800001 344631.802700002,600488.598 344643.48,600487.849000002 344644.676999999,600485.370000001 344648.640000002,600484.970000001 344649.27,600485.800000001 344649.760000004,600486.240000001 344649.040000001,600488.505 344645.290999999,600489.226000002 344644.097999999,600489.3029 344643.970600002,600490.019000001 344644.469000002,600497.8874 344633.021000002,600498.000000002 344633.090000002,600498.210000001 344632.75,600498.1147 344632.690300003,600498.33 344632.377,600498.541 344632.072000001,600499.459 344632.759,600500.212000001 344631.753,600497.078000001 344629.405000001,600496.325000001 344630.412,600497.205 344631.071,600496.981 344631.392999999,600496.696800001 344631.802700002)))",INTERSECTS,59.07690763340,42.28286747050
"MULTIPOLYGON (((600418.2 344557.310000001,600417.88 344557.288000001,600416.0 344557.16,600415.91 344558.560000001,600417.807 344558.681,600418.11 344558.699999999,600418.598 344558.732999999,600423.3 344559.050000001,600423.4 344557.65,600418.486 344557.329,600418.2 344557.310000001)))",INTERSECTS,17.62890658180,10.36181499770
"MULTIPOLYGON (((600619.7 344315.720000001,600619.527 344315.686000001,600617.49 344315.279999999,600614.932 344314.771,600614.768 344316.501,600617.283 344316.933,600616.99 344319.279999999,600616.1 344319.09,600615.67 344323.880000001,600618.02 344324.039999999,600617.25 344329.99,600617.65 344330.1,600617.23 344333.15,600612.2 344332.85,600612.13 344333.359999999,600613.71 344333.470000001,600613.3 344336.73,600615.19 344337.34,600614.63 344339.720000001,600614.11 344339.59,600613.66 344341.34,600610.66 344340.76,600610.66 344341.59,600615.274 344342.727,600615.499 344342.782,600616.26 344342.970000001,600616.55 344343.039999999,600618.7 344335.42,600619.26 344333.48,600620.09 344324.17,600620.43 344319.289999999,600620.73 344315.93,600620.182 344315.818,600619.7 344315.720000001)))",INTERSECTS,84.83292998680,99.11863499870
"MULTIPOLYGON (((600420.948 344526.867000001,600420.24 344526.699999999,600419.51 344526.529999999,600419.31 344527.380000001,600420.45 344527.66,600420.806 344527.744999999,600421.585 344527.932,600427.24 344529.289999999,600427.76 344526.710000001,600425.87 344526.26,600425.49 344527.939999999,600421.617 344527.025,600420.948 344526.867000001)))",INTERSECTS,21.47114155150,10.67237199750
"MULTIPOLYGON (((600435.594 344586.895500001,600438.36 344586.550000001,600438.24 344585.560000001,600432.947 344586.222999999,600426.815 344586.992000001,600425.855 344587.112,600422.2 344587.57,600420.95 344587.720000001,600421.08 344588.710000001,600422.35 344588.550000001,600426.336 344588.051999999,600427.27 344587.935000001,600429.2951 344587.6821,600429.307 344587.950999999,600433.81 344587.986,600438.753 344588.532,600438.496 344587.046,600435.594 344586.895500001)))",INTERSECTS,44.64613633970,25.97348154790
"MULTIPOLYGON (((600537.013 344377.256999999,600537.0 344376.630000001,600536.99 344376.15,600536.19 344376.16,600536.2 344376.619999999,600536.213 344377.249,600536.224 344377.744000001,600536.33 344382.74,600533.49 344383.390000001,600529.207 344376.573999999,600528.002 344374.657,600527.52 344373.890000001,600527.252 344374.061000001,600527.153 344374.124,600526.67 344374.43,600532.9 344384.34,600537.14 344383.380000001,600537.025 344377.842,600537.013 344377.256999999)))",INTERSECTS,45.80659816630,19.94769449990
"MULTIPOLYGON (((601019.008372962 344203.354116395,601009.914883605 344203.375116397,601009.945736337 344202.211705465,601008.609999999 344202.16,601008.485 344198.091000002,601008.438 344196.564999999,601008.36 344194.030000003,601008.290000001 344191.890000004,601007.490000002 344191.91,601007.560000001 344194.140000001,601007.634000001 344196.518000001,601007.684000002 344198.107999999,601007.810000001 344202.16,601006.232325409 344202.17,601006.139767212 344203.662790988,601000.534171044 344203.620085523,601000.510318311 344205.590000002,601018.922814764 344205.294178139,601019.008372962 344203.354116395)))",INTERSECTS,63.11944716080,54.36485099940
"MULTIPOLYGON (((600554.566 344374.790999999,600554.49 344373.83,600554.39 344372.66,600553.4 344372.74,600553.5 344374.08,600553.583 344375.114,600553.648 344375.919,600554.1 344381.539999999,600545.25 344382.24,600545.32 344383.23,600555.17 344382.449999999,600554.624 344375.528999999,600554.566 344374.790999999)))",INTERSECTS,39.39303569300,18.63316250150
"MULTIPOLYGON (((600574.21 344380.18,600574.0 344378.939999999,600569.16 344379.57,600567.945 344374.092,600567.771 344373.309,600567.31 344371.23,600567.22 344370.83,600565.56 344370.960000001,600565.64 344371.32,600566.094 344373.378,600566.322 344374.412,600567.51 344379.789999999,600562.24 344380.48,600562.44 344381.73,600574.21 344380.18)))",INTERSECTS,44.25154488360,29.86160250450
"MULTIPOLYGON (((600590.675 344377.148,600590.408 344375.747,600588.714 344376.069,600587.161 344370.674000001,600586.663 344368.942,600586.106 344367.005999999,600586.013 344366.684,600584.126 344367.226,600584.203 344367.494000001,600584.827 344369.663000001,600585.213 344371.005000001,600586.777 344376.437000001,600583.099 344377.136,600583.366 344378.537,600590.675 344377.148)))",INTERSECTS,37.07454683930,29.60855700130
"MULTIPOLYGON (((600856.034 344237.126,600856.613 344239.737,600840.037 344243.944,600833.904 344245.501,600834.396 344247.438999999,600840.529 344245.881999999,600858.985 344241.198999999,600864.311 344240.017999999,600863.89 344238.119000001,600863.4628 344238.2138,600863.378 344237.880000001,600858.5431 344239.207,600858.012 344236.812000001,600857.106 344232.727,600857.069 344232.559,600856.966 344232.092,600856.711 344230.938999999,600856.069 344231.081,600855.124 344231.289999999,600854.759 344231.370999999,600855.022 344232.558,600855.092 344232.875,600855.124 344233.02,600856.034 344237.126)))",INTERSECTS,83.02991399050,79.57560967600
"MULTIPOLYGON (((600429.156 344582.411,600426.404 344574.537,600425.549 344574.835999999,600426.445 344577.398,600426.19 344577.470000001,600424.25 344578.02,600424.37 344578.43,600423.106 344578.778000001,600422.577 344578.923,600421.35 344579.26,600420.5 344579.49,600420.75 344580.449999999,600421.45 344580.25,600422.963 344579.822000001,600423.539 344579.659,600424.67 344579.34,600424.8 344579.779999999,600426.69 344579.242000001,600427.054 344579.138,600428.301 344582.710000001,600429.156 344582.411)))",INTERSECTS,31.23995465770,15.73970150250
"MULTIPOLYGON (((600428.806 344503.264,600427.08 344502.4,600425.87 344501.800000001,600425.32 344502.869999999,600426.5 344503.48,600428.248 344504.376,600428.574 344504.543,600434.5 344507.58,600432.769 344511.895,600427.577 344509.530999999,600426.294 344508.947000001,600423.847 344507.833000001,600423.403 344508.808,600426.09 344510.030999999,600427.067 344510.476,600432.37 344512.890000001,600433.68 344513.4,600436.19 344506.960000001,600429.135 344503.429,600428.806 344503.264)))",INTERSECTS,56.75276077150,33.02419949980
"MULTIPOLYGON (((600945.048 344220.540999999,600921.83 344225.52,600922.25 344227.476,600947.398 344222.083000001,600946.384 344217.046,600945.878 344214.533,600945.693 344213.615,600945.509 344212.702,600944.95 344212.813999999,600943.882 344213.028999999,600943.549 344213.096000001,600943.718 344213.934,600943.895 344214.810000001,600943.914 344214.905999999,600944.436 344217.5,600944.9083 344219.846899999,600944.908 344219.846999999,600945.048 344220.540999999)))",INTERSECTS,70.62940556090,66.63625986560
"MULTIPOLYGON (((600609.4 344352.997,600608.98 344352.66,600607.55 344351.51,600604.24 344355.960000001,600602.96 344355.189999999,600601.33 344357.43,600603.474 344359.054,600603.64 344359.18,600604.105 344359.527000001,600605.64 344360.67,600610.54 344353.91,600610.002 344353.479,600609.4 344352.997)))",INTERSECTS,27.38531343470,36.86525799830
"MULTIPOLYGON (((600454.69 344627.48,600455.906 344625.530999999,600456.147 344625.143999999,600459.67 344619.5,600461.19 344617.060000001,600461.39 344617.189999999,600464.062 344612.895,600466.74 344608.59,600465.06 344607.539999999,600462.114 344612.276000001,600459.71 344616.140000001,600460.12 344616.4,600458.65 344618.859999999,600455.324 344624.174000001,600455.041 344624.626,600453.73 344626.720000001,600452.46 344628.75,600453.49 344629.390000001,600454.69 344627.48)))",INTERSECTS,53.24437606690,37.72301149590
"MULTIPOLYGON (((600473.727 344389.255000001,600474.327 344387.187999999,600474.373 344387.030999999,600477.679 344375.647,600477.757 344375.378,600477.836 344375.105,600478.565 344372.596000001,600479.828 344368.244000001,600477.993 344367.710999999,600476.171 344373.982999999,600475.989 344374.608999999,600475.974 344374.66,600472.551 344386.448999999,600472.477 344386.705,600471.908 344388.664999999,600470.294 344394.222999999,600472.129 344394.755999999,600473.727 344389.255000001)))",INTERSECTS,59.03620152500,52.77975199820
"MULTIPOLYGON (((600562.307 344373.593,600562.1 344371.948999999,600561.919 344370.513,600560.742 344370.661,600560.938 344372.218,600561.121 344373.676000001,600561.26 344374.783,600561.734 344378.559,600562.912 344378.411,600562.424 344374.522,600562.307 344373.593)))",INTERSECTS,18.29376326980,9.44904099801
